trial_id,laneName,frechet,speedDiff,isBest,isTarget,isMatch
27,Curve_X,0.7181029,-0.410321,True,X,True
28,Curve_X,0.4579182,0.03692532,True,X,True
29,Curve_X,0.52731,-0.245471,True,X,True
30,Curve_X,0.6741136,-0.2925997,True,X,True
1,Curve_C,0.6225825,0.2599342,True,C,True
2,Curve_C,0.3408442,0.3138576,True,C,True
3,Curve_C,0.5966938,0.1151028,True,C,True
4,Curve_C,0.5241907,-0.282553,True,C,True
5,Curve_C,0.4593816,0.04868054,True,C,True
6,Curve_C,0.2984463,0.113986,True,C,True
7,Curve_C,0.3604628,0.218678,True,C,True
8,Curve_C,0.3779228,0.1030233,True,C,True
9,Curve_C,0.667514,-0.1587346,True,C,True
10,Curve_C,0.3954902,-0.3573642,True,C,True
11,Curve_C,0.5679851,-0.2714422,True,C,True
12,Curve_C,0.5506929,0.5193968,True,C,True
13,Curve_C,0.4039092,0.1610026,True,C,True
14,Curve_C,0.4718313,0.1691294,True,C,True
15,Curve_C,0.2860659,-0.1155794,True,C,True
16,Curve_C,0.4412462,0.1141865,True,C,True
17,Curve_C,0.2783835,0.3793097,True,C,True
18,Curve_C,0.334836,0.200712,True,C,True
19,Curve_C,0.77067,0.2374737,True,C,True
20,Curve_C,0.6624262,0.3548276,True,C,True
21,Curve_C,0.6767118,0.1041806,True,C,True
22,Curve_C,0.3352472,0.4384046,True,C,True
23,Curve_C,0.3664474,-0.1598616,True,C,True
24,Curve_C,0.7405076,0.2804632,True,C,True
25,Curve_C,0.8110929,-0.160094,True,C,True
26,Curve_C,0.6420028,0.09028125,True,C,True
27,Curve_C,0.5692345,0.1986728,True,C,True
28,Curve_C,0.3943259,0.152539,True,C,True
29,Curve_C,0.5560688,0.2246671,True,C,True
30,Curve_C,0.2638653,0.1107788,True,C,True
1,Curve_V,0.9732485,0.7021832,True,V,True
2,Curve_V,1.01636,0.0009951591,True,V,True
3,Curve_V,0.6619466,0.02679586,True,V,True
4,Curve_V,0.68974,-0.02373362,True,V,True
5,Curve_V,0.7390117,0.01663494,True,V,True
6,Curve_V,0.6883309,0.394877,True,V,True
7,Curve_V,0.7408244,0.4522018,True,V,True
8,Curve_V,0.5113738,0.1168561,True,V,True
9,Curve_V,0.3738016,-0.2507463,True,V,True
10,Curve_V,0.3677492,0.589695,True,V,True
11,Curve_V,0.6049041,0.7829432,True,V,True
12,Curve_V,0.504754,0.6187215,True,V,True
13,Curve_V,0.7973709,0.8496056,True,V,True
14,Curve_V,0.5480547,0.536305,True,V,True
15,Curve_V,0.5506856,0.5414934,True,V,True
16,Curve_V,0.3825966,0.8890033,True,V,True
17,Curve_V,0.4285853,0.3762193,True,V,True
18,Curve_V,0.3048217,0.2418094,True,V,True
19,Curve_V,0.439081,0.531343,True,V,True
20,Curve_V,0.6547976,0.3101854,True,V,True
21,Curve_V,0.5497186,0.2321258,True,V,True
22,Curve_V,0.8387376,-0.2190585,True,V,True
23,Curve_V,0.313823,0.4570518,True,V,True
24,Curve_V,0.4472376,0.2912173,True,V,True
25,Curve_V,0.4083435,0.5466843,True,V,True
26,Curve_V,0.6064458,0.6764183,True,V,True
27,Curve_V,0.776413,0.2907929,True,V,True
28,Curve_V,0.4987979,0.1821227,True,V,True
29,Curve_V,0.3768285,0.3074412,True,V,True
30,Curve_V,0.5793557,-0.09917736,True,V,True
